Code;Nom_commune;Code_postal;Zonage dentistes
01001;L ABERGEMENT CLEMENCIAT;01400;1_Tres_sous_dotee
01002;L ABERGEMENT DE VAREY;01640;3_intermediaire
01004;AMBERIEU EN BUGEY;01500;3_intermediaire
01005;AMBERIEUX EN DOMBES;01330;3_intermediaire
01006;AMBLEON;01300;1_Tres_sous_dotee
01007;AMBRONAY;01500;3_intermediaire
01008;AMBUTRIX;01500;3_intermediaire
01009;ANDERT ET CONDON;01300;1_Tres_sous_dotee
01010;ANGLEFORT;01350;1_Tres_sous_dotee
01011;APREMONT;01100;3_intermediaire
01012;ARANC;01110;1_Tres_sous_dotee
01013;ARANDAS;01230;3_intermediaire
01014;ARBENT;01100;3_intermediaire
01015;ARBOYS EN BUGEY;01300;1_Tres_sous_dotee
01015;ARBOYS EN BUGEY;01300;1_Tres_sous_dotee
01016;ARBIGNY;01190;1_Tres_sous_dotee
01017;ARGIS;01230;1_Tres_sous_dotee
01019;ARMIX;01510;1_Tres_sous_dotee
01021;ARS SUR FORMANS;01480;3_intermediaire
01022;ARTEMARE;01510;1_Tres_sous_dotee
01023;ASNIERES SUR SAONE;01570;1_Tres_sous_dotee
01024;ATTIGNAT;01340;1_Tres_sous_dotee
01025;BAGE DOMMARTIN;01380;3_intermediaire
01025;BAGE DOMMARTIN;01380;3_intermediaire
01026;BAGE LE CHATEL;01380;3_intermediaire
01027;BALAN;01360;3_intermediaire
01028;BANEINS;01990;1_Tres_sous_dotee
01029;BEAUPONT;01270;1_Tres_sous_dotee
01030;BEAUREGARD;01480;4_Tres_dotee
01031;BELLIGNAT;01100;3_intermediaire
01032;BELIGNEUX;01360;1_Tres_sous_dotee
01032;BELIGNEUX;01360;1_Tres_sous_dotee
01032;BELIGNEUX;01360;1_Tres_sous_dotee
01032;BELIGNEUX;01360;1_Tres_sous_dotee
01033;VALSERHONE;01200;1_Tres_sous_dotee
01033;VALSERHONE;01200;1_Tres_sous_dotee
01033;VALSERHONE;01200;1_Tres_sous_dotee
01033;VALSERHONE;01200;1_Tres_sous_dotee
01033;VALSERHONE;01200;1_Tres_sous_dotee
01034;BELLEY;01300;1_Tres_sous_dotee
01035;BELLEYDOUX;01130;3_intermediaire
